WhiteElo,BlackElo,Result,Termination,Opening,ECO,TimeControl
1639,1403,1-0,Normal,French Defense: Normal Variation,C00,600+8
1654,1919,1-0,Normal,"Queen's Pawn Game: Colle System, Anti-Colle",D04,480+2
1643,1747,1-0,Normal,Four Knights Game: Italian Variation,C50,420+17
1824,1973,0-1,Normal,Caro-Kann Defense: Goldman Variation,B12,60+1
1765,1815,0-1,Normal,French Defense: La Bourdonnais Variation,C00,60+1
1477,1487,1-0,Time forfeit,Owen Defense,B00,300+3
1541,1500,0-1,Normal,"Italian Game: Classical Variation, Giuoco Pianissimo",C53,300+0
1765,1752,1-0,Normal,English Opening: The Whale,C20,540+0
1445,1169,1-0,Normal,Old Benoni Defense,A43,900+0
1522,1428,0-1,Normal,Englund Gambit Complex: Hartlaub-Charlick Gambit,A40,180+5
1644,1544,0-1,Normal,Modern Defense,B06,600+8
1957,1755,0-1,Normal,"French Defense: Classical Variation, Richter Attack",C13,300+8
1656,1812,1-0,Normal,Giuoco Piano,C50,420+17
1436,1506,1-0,Normal,Ruy Lopez: Cozio Defense,C60,420+0
1878,1940,1/2-1/2,Normal,Sicilian Defense: McDonnell Attack,B21,300+0
1742,1775,0-1,Normal,Nimzo-Larsen Attack: Modern Variation #2,A01,540+0
1824,1811,1-0,Normal,French Defense: Advance Variation #2,C02,360+6
1653,1395,1-0,Time forfeit,French Defense: Normal Variation,C00,1200+0
1897,1673,1-0,Time forfeit,Scandinavian Defense: Mieses-Kotroc Variation,B01,480+2
1492,1451,1-0,Normal,Bishop's Opening: Berlin Defense,C24,420+0
1500,1585,1-0,Normal,King's Gambit,C30,300+0
1463,1504,1-0,Normal,Scotch Game: Benima Defense,C44,1560+30
1554,1429,1-0,Time forfeit,Scandinavian Defense: Mieses-Kotroc Variation,B01,300+2
1938,1880,1-0,Normal,Queen's Gambit Accepted: Saduleto Variation,D20,300+0
1336,1337,1-0,Normal,King's Pawn Game: McConnell Defense,C40,300+5
1793,1827,1-0,Time forfeit,Horwitz Defense,A40,300+0
1785,1732,0-1,Normal,Modern Defense,B06,540+0
1981,1601,1-0,Time forfeit,"English Opening: Anglo-Indian Defense, King's Knight Variation",A15,60+1
1711,1800,1-0,Normal,French Defense: Advance Variation #2,C02,360+6
1421,1491,1-0,Normal,Pirc Defense #5,B07,300+8
1849,1728,1-0,Time forfeit,Old Benoni Defense,A43,60+0
1440,1502,0-1,Time forfeit,"Italian Game: Two Knights Defense, Modern Bishop's Opening",C55,420+0
1548,1415,1-0,Normal,Center Game #2,C21,480+8
1561,1503,0-1,Time forfeit,Robatsch (Modern) Defense,B06,60+0
1489,1561,0-1,Normal,Bishop's Opening: Philidor Counterattack,C23,300+3
1492,1525,1-0,Normal,Sicilian Defense,B50,1560+30
1347,1519,0-1,Time forfeit,Scandinavian Defense,B01,300+5
1162,1244,1-0,Normal,Van't Kruijs Opening,A00,420+0
1627,1633,1-0,Normal,English Defense,A40,180+15
